kind,id,selfLink,name,bucket,generation,metageneration,contentType,timeCreated,updated,storageClass,timeStorageClassUpdated,size,md5Hash,mediaLink,crc32c,etag,eventTime,eventType,notificationConfig,payloadFormat,objectGeneration,objectId,bucketId,overwroteGeneration,overwrittenByGeneration
storage#object,data-cube-migration/archive/vmax_raw/vx_customer.csv.gz/1651057886912321,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057886912321,1,text/csv,2022-04-27T11:11:27.013Z,2022-04-27T11:11:27.013Z,STANDARD,2022-04-27T11:11:27.013Z,128272,mM2Yg/1vUiDIoqnIS8aLZw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fvmax_raw%2Fvx_customer.csv.gz?generation=1651057886912321&alt=media,752IWg==,CMG+6faNtPcCEAE=,2022-04-27T11:14:32.205697Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057886912321,archive/vmax_raw/vx_customer.csv.gz,data-cube-migration,,1651058072101967
storage#object,data-cube-migration/vmax_raw/vx_customer.csv.gz/1651057895441471,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz,vmax_raw/vx_customer.csv.gz,data-cube-migration,1651057895441471,1,text/csv,2022-04-27T11:11:35.528Z,2022-04-27T11:11:35.528Z,STANDARD,2022-04-27T11:11:35.528Z,1169245,JwoihxpgLPQOmAoMxYyhpA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz?generation=1651057895441471&alt=media,owapJw==,CL+I8vqNtPcCEAE=,2022-04-27T11:14:32.405562Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651057895441471,vmax_raw/vx_customer.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/vmax_raw/vx_customer.csv.gz/1651058100000095,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz,vmax_raw/vx_customer.csv.gz,data-cube-migration,1651058100000095,1,text/csv,2022-04-27T11:15:00.088Z,2022-04-27T11:15:00.088Z,STANDARD,2022-04-27T11:15:00.088Z,5495309,aFLOttfbBLS2MGGxcVhjrg==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/vmax_raw%2Fvx_customer.csv.gz?generation=1651058100000095&alt=media,0qApjg==,CN+qt9yOtPcCEAE=,2022-04-27T11:15:00.088609Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058100000095,vmax_raw/vx_customer.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_location.csv.gz/1651058107695012,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_location.csv.gz,archive/micros_sales_raw/mm_location.csv.gz,data-cube-migration,1651058107695012,1,text/csv,2022-04-27T11:15:07.798Z,2022-04-27T11:15:07.798Z,STANDARD,2022-04-27T11:15:07.798Z,47995,t8W0Z0IqaFvQ8e0T8SC/7w==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_location.csv.gz?generation=1651058107695012&alt=media,qxmjmw==,CKT/jOCOtPcCEAE=,2022-04-27T11:15:07.798084Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058107695012,archive/micros_sales_raw/mm_location.csv.gz,data-cube-migration,1650971706525589,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_location.csv.gz/1650971706525589,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_location.csv.gz,archive/micros_sales_raw/mm_location.csv.gz,data-cube-migration,1650971706525589,1,text/csv,2022-04-26T11:15:06.629Z,2022-04-26T11:15:06.629Z,STANDARD,2022-04-26T11:15:06.629Z,48108,ODiqNerdQIsE9ai2lzib8Q==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_location.csv.gz?generation=1650971706525589&alt=media,Wma/7g==,CJWP6PDMsfcCEAE=,2022-04-27T11:15:07.798084Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1650971706525589,archive/micros_sales_raw/mm_location.csv.gz,data-cube-migration,,1651058107695012
storage#object,data-cube-migration/micros_sales_raw/mm_location.csv.gz/1651056915799278,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_location.csv.gz,micros_sales_raw/mm_location.csv.gz,data-cube-migration,1651056915799278,1,text/csv,2022-04-27T10:55:15.887Z,2022-04-27T10:55:15.887Z,STANDARD,2022-04-27T10:55:15.887Z,47995,t8W0Z0IqaFvQ8e0T8SC/7w==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_location.csv.gz?generation=1651056915799278&alt=media,qxmjmw==,CO654aeKtPcCEAE=,2022-04-27T11:15:07.998297Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651056915799278,micros_sales_raw/mm_location.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_employee.csv.gz/1650971715698384,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_employee.csv.gz,archive/micros_sales_raw/mm_employee.csv.gz,data-cube-migration,1650971715698384,1,text/csv,2022-04-26T11:15:15.799Z,2022-04-26T11:15:15.799Z,STANDARD,2022-04-26T11:15:15.799Z,2313935,2imzM8XRcOifyCFL8jjFYQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_employee.csv.gz?generation=1650971715698384&alt=media,8+5DVw==,CND9l/XMsfcCEAE=,2022-04-27T11:15:17.226002Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1650971715698384,archive/micros_sales_raw/mm_employee.csv.gz,data-cube-migration,,1651058117121673
storage#object,data-cube-migration/archive/micros_sales_raw/mm_employee.csv.gz/1651058117121673,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_employee.csv.gz,archive/micros_sales_raw/mm_employee.csv.gz,data-cube-migration,1651058117121673,1,text/csv,2022-04-27T11:15:17.226Z,2022-04-27T11:15:17.226Z,STANDARD,2022-04-27T11:15:17.226Z,2314656,TCYAhnehJhnA8rqq1hchxQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_employee.csv.gz?generation=1651058117121673&alt=media,bx0wpA==,CImtzOSOtPcCEAE=,2022-04-27T11:15:17.226002Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058117121673,archive/micros_sales_raw/mm_employee.csv.gz,data-cube-migration,1650971715698384,
storage#object,data-cube-migration/micros_sales_raw/mm_employee.csv.gz/1651056670632996,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_employee.csv.gz,micros_sales_raw/mm_employee.csv.gz,data-cube-migration,1651056670632996,1,text/csv,2022-04-27T10:51:10.723Z,2022-04-27T10:51:10.723Z,STANDARD,2022-04-27T10:51:10.723Z,2314656,TCYAhnehJhnA8rqq1hchxQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_employee.csv.gz?generation=1651056670632996&alt=media,bx0wpA==,CKTY7bKJtPcCEAE=,2022-04-27T11:15:17.422474Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651056670632996,micros_sales_raw/mm_employee.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_major_group.csv.gz/1651058122136899,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_major_group.csv.gz,archive/micros_sales_raw/mm_major_group.csv.gz,data-cube-migration,1651058122136899,1,text/csv,2022-04-27T11:15:22.237Z,2022-04-27T11:15:22.237Z,STANDARD,2022-04-27T11:15:22.237Z,114834,zORqpZXfhmTpmeNgXs8cxA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_major_group.csv.gz?generation=1651058122136899&alt=media,T+s1bQ==,CMO6/uaOtPcCEAE=,2022-04-27T11:15:22.237083Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651058122136899,archive/micros_sales_raw/mm_major_group.csv.gz,data-cube-migration,1650971720893107,
